时间,国民总收入(亿元),国内生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),人均国内生产总值(元)
2017年,824828.4,827121.7,65467.6,334622.6,427031.5,59660.0
2016年,740598.7,743585.5,63672.8,296547.7,383365.0,53935.0
2015年,686449.6,689052.1,60862.1,282040.3,346149.7,50251.0
2014年,644791.1,643974.0,58343.5,277571.8,308058.6,47203.0
2013年,590422.4,595244.4,55329.1,261956.1,277959.3,43852.0
2012年,539116.5,540367.4,50902.3,244643.3,244821.9,40007.0
2011年,484753.2,489300.6,46163.1,227038.8,216098.6,36403.0
2010年,411265.2,413030.3,39362.6,191629.8,182038.0,30876.0
2009年,348498.5,349081.4,34161.8,160171.7,154747.9,26222.0
2008年,321500.5,319515.5,32753.2,149956.6,136805.8,24121.0
2007年,270844.0,270232.3,27788.0,126633.6,115810.7,20505.0
2006年,219028.5,219438.5,23317.0,104361.8,91759.7,16738.0
2005年,185998.9,187318.9,21806.7,88084.4,77427.8,14368.0
2004年,161415.4,161840.2,20904.3,74286.9,66648.9,12487.0
2003年,136576.3,137422.0,16970.2,62697.4,57754.4,10666.0
2002年,120480.4,121717.4,16190.2,54105.5,51421.7,9506.0
2001年,109276.2,110863.1,15502.5,49660.7,45700.0,8717.0
2000年,99066.1,100280.1,14717.4,45664.8,39897.9,7942.0
1999年,89366.5,90564.4,14549.0,41080.9,34934.5,7229.0
1998年,83817.6,85195.5,14618.7,39018.5,31558.3,6860.0
1997年,78802.9,79715.0,14265.2,37546.0,27903.8,6481.0
1996年,70779.6,71813.6,13878.3,33828.1,24107.2,5898.0
1995年,60356.6,61339.9,12020.5,28677.5,20641.9,5091.0
1994年,48548.2,48637.5,9471.8,22453.1,16712.5,4081.0
1993年,35599.2,35673.2,6887.6,16473.1,12312.6,3027.0
1992年,27208.2,27194.5,5800.3,11725.3,9668.9,2334.0
1991年,22050.3,22005.6,5288.8,9129.8,7587.0,1912.0
1990年,18923.3,18872.9,5017.2,7744.3,6111.4,1663.0
1989年,17188.4,17179.7,4228.2,7300.9,5650.6,1536.0
1988年,15174.4,15180.4,3831.2,6607.4,4741.8,1378.0
1987年,12166.6,12174.6,3204.5,5274.0,3696.2,1123.0
1986年,10375.4,10376.2,2764.1,4515.2,3096.9,973.0
1985年,9123.6,9098.9,2541.7,3886.5,2670.7,866.0
1984年,7314.2,7278.5,2295.6,3124.8,1858.1,702.0
1983年,6043.8,6020.9,1960.9,2663.0,1397.0,588.0
1982年,5380.5,5373.4,1761.7,2397.7,1214.0,533.0
1981年,4933.7,4935.8,1545.7,2269.1,1121.1,497.0
1980年,4587.6,4587.6,1359.5,2204.7,1023.4,468.0
1979年,4100.5,4100.5,1259.0,1925.4,916.1,423.0
1978年,3678.7,3678.7,1018.5,1755.2,905.1,385.0
1977年,3250.0,3250.0,942.2,1517.8,790.0,344.0
1976年,2988.6,2988.6,967.1,1346.0,675.5,321.0
1975年,3039.5,3039.5,971.2,1378.7,689.6,332.0
1974年,2827.7,2827.7,945.2,1199.8,682.7,314.0
1973年,2756.2,2756.2,907.5,1180.4,668.3,313.0
1972年,2552.4,2552.4,827.4,1091.6,633.3,296.0
1971年,2456.9,2456.9,826.3,1029.9,600.6,292.0
1970年,2279.7,2279.7,793.3,918.1,568.3,279.0
1969年,1962.2,1962.2,736.2,695.0,531.0,247.0
1968年,1744.1,1744.1,726.3,542.6,475.2,225.0
1967年,1794.2,1794.2,714.2,608.0,472.0,238.0
1966年,1888.7,1888.7,702.2,715.4,471.0,257.0
1965年,1734.0,1734.0,651.1,608.5,474.4,242.0
1964年,1469.9,1469.9,559.0,519.3,391.6,210.0
1963年,1248.3,1248.3,497.5,412.8,337.9,183.0
1962年,1162.2,1162.2,453.1,363.9,345.1,175.0
1961年,1232.3,1232.3,441.1,393.5,397.7,187.0
1960年,1470.1,1470.1,340.7,652.6,476.8,220.0
1959年,1447.5,1447.5,383.8,616.8,446.9,217.0
1958年,1312.3,1312.3,445.9,483.6,382.8,201.0
1957年,1071.4,1071.4,430.0,316.6,324.8,168.0
1956年,1030.7,1030.7,443.9,280.4,306.4,166.0
1955年,911.6,911.6,421.0,221.5,269.1,150.0
1954年,859.8,859.8,392.0,210.8,257.0,144.0
1953年,824.4,824.4,378.0,191.6,254.8,142.0
1952年,679.1,679.1,342.9,141.1,195.1,119.0
