时间	普通高等学校招生数(万人)	普通中学招生数(万人)	高中招生数(万人)	初中招生数(万人)	职业中学招生数(万人)	普通小学招生数(万人)	特殊教育学校招生数(万人)
2018年	791.0		792.7			1867.3	12.4
2017年	761.4893		800.0548			1766.5544	11.0843
2016年	748.6		802.9			1752.5	9.2
2015年	737.8		796.6			1729.0	8.3
2014年	721.4		796.6			1658.4	7.1
2013年	699.8		822.7			1695.4	6.6
2012年	688.8	2415.4	844.6	1570.77		1714.7	6.6
2011年	681.5	2484.7887	850.8	1634.0088	247.147	1736.8	6.4
2010年	661.8	2551.7289	836.2	1715.493	279.7632	1691.7	6.5
2009年	639.5	2616.7296	830.3	1786.3912	315.2346	1637.8	6.4
2008年	607.7	2693.1726	837.0	1856.1663	294.0872	1695.7	6.2
2007年	565.9	2703.9143	840.2	1863.7499	306.9298	1736.1	6.3
2006年	546.1	2794.8	871.2	1923.6	294.0	1729.4	5.0
2005年	504.5	2854.2563	877.7	1976.5246	259.2697	1671.7	4.9
2004年	447.3	2899.7	821.5	2078.2	229.1	1747.0	5.1
2003年	382.2	2947.4	752.1	2195.3	222.1	1829.4	4.9
2002年	320.5	2929.0	676.7	2252.3	216.88	1952.8	5.3
2001年	268.3	2815.86	558.0	2257.88	185.02	1944.2	5.6
2000年	220.6	2735.99	472.7	2263.3	182.7	1946.5	5.3
1999年	159.68	2546.0	396.3239	2149.7	194.1	2029.5337	5.01
1998年	108.3627	2321.0	359.552	1961.4	217.6	2201.3814	4.91
1997年	100.0393	2128.204	322.6143	1805.6	211.2	2462.0442	4.61
1996年	96.5812	2042.9316	282.2297	1760.7	188.9	2524.6553	4.82
1995年	92.6	2025.9313	273.6	1752.3	190.1	2531.8	5.6
1994年	89.9846	1859.7468	243.3887	1616.4	175.3	2537.0329	3.98
1993年	92.3952	1707.3	228.3351	1479.0	161.5	2353.4825	3.35
1992年	75.4192	1699.7	234.7321	1465.0	152.1	2183.2	2.95
1991年	61.9874	1655.2	243.8157	1411.3	137.8	2072.74	1.98
1990年	60.9	1619.6	249.8	1369.9	123.2	2064.0	1.6
1989年	59.7113	1551.5	242.1434	1309.4	118.3	2151.54	1.36
1988年	66.97	1584.74	251.56	1340.5	119.5	2123.28	1.2
1987年	61.68	1649.46	255.16	1394.3	113.2	2094.57	1.18
1986年	57.2	1643.9	257.32	1386.6	112.8	2258.23	1.14
1985年	61.9	1606.9	257.5	1349.4	116.1	2298.2	0.9
1984年	47.5171	1564.9	262.33	1302.5	93.9	2472.93	0.75
1983年	39.1	1576.9	259.8	1317.1	75.7	2544.0	0.64
1982年	31.5	1642.4	279.3	1363.1	42.6	2671.7	0.61
1981年	27.9	1740.5	327.8	1412.7	26.7	2749.2	0.6
1980年	28.1	1934.3	383.4	1550.9	30.7	2942.3	0.6
1979年	27.5	2341.9	614.1	1727.8		3101.7	0.6
1978年	40.2	2698.9	692.9	2006.0		3315.4	0.6
1977年	27.3	3360.8	993.1	2367.7		3111.5	0.56
1976年	21.7	3205.4	861.1	2344.3		3161.1	0.54
1975年	19.1	2443.6	633.1	1810.5		3352.1	0.51
1974年	16.5	1886.2	541.1	1345.1		3249.5	0.52
1973年	15.0	1591.0	452.0	1139.0		3369.3	0.55
1972年	13.4	1726.1	479.0	1247.1		3603.6	
1971年	4.2	1556.2	321.3	1234.9		3387.5	
1970年	4.2	1415.3	239.0	1176.3		2831.8	
1969年		1127.0	103.6	1023.4		2205.7	
1968年		711.5	63.0	648.5		1753.2	
1967年		211.9	13.6	198.3		1402.5	
1966年		293.4	20.7	272.7		1879.2	
1965年	16.4	345.7	45.9	299.8	306.5	3296.0	
1964年	14.7	330.4	43.8	286.6	88.6	2968.9	
1963年	13.3	306.9	43.4	263.5	16.7	1698.2	
1962年	10.7	280.0	41.7	238.3	14.9	1586.3	
1961年	16.9	266.5	44.7	221.8	29.7	1647.1	
1960年	32.3	432.6	67.8	364.8	95.3	2494.3	
1959年	27.4	383.9	65.6	318.3	105.2	2049.1	
1958年	26.5	434.5	56.2	378.3	200.0	3000.5	
1957年	10.6	249.3	32.3	217.0		1249.2	
1956年	18.5	234.3	37.4	196.9		1592.3	
1955年	9.8	150.3	22.1	128.2		1182.0	
1954年	9.2	143.1	19.5	123.6		1054.5	
1953年	8.1	97.9	16.1	81.8		819.5	
1952年	7.9	138.3	14.1	124.2		1149.3	
1951年	5.2	89.7	9.1	80.6		1086.2	
1950年	5.8	60.9	10.8	50.1		696.6	
1949年	3.1	41.2	7.1	34.1		680.0	
